,X,lon,lat,Location,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h,valid_season
130,40,37.41658,0.13246,kenya_A000662_2,A000662,,,kenya,2018-04-17,2018-11-30,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,Y
131,40,37.41658,0.13246,kenya_A000662_3,A000662,,,kenya,2018-09-03,2019-05-30,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,Y
132,40,37.41658,0.13246,kenya_A000662_4,A000662,,,kenya,2019-03-03,2019-10-26,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,Y
133,40,37.41658,0.13246,kenya_A000662_5,A000662,,,kenya,2019-07-30,2020-03-23,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,N
134,40,37.41658,0.13246,kenya_A000662_6,A000662,,,kenya,2019-12-26,2020-08-02,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,Y
135,40,37.41658,0.13246,kenya_A000662_7,A000662,,,kenya,2020-05-06,2021-01-04,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,N
136,40,37.41658,0.13246,kenya_A000662_8,A000662,,,kenya,2020-10-08,2021-06-15,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,Y
137,40,37.41658,0.13246,kenya_A000662_9,A000662,,,kenya,2021-03-19,2021-12-22,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,Y
138,40,37.41658,0.13246,kenya_A000662_10,A000662,,,kenya,2021-09-25,2022-08-25,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,Y
139,41,37.14501,0.10258,kenya_A000669_1,A000669,,,kenya,2018-02-23,2018-12-07,250,250,98a812f0-979c-4ac3-9085-6db256d84397,Y
140,41,37.14501,0.10258,kenya_A000669_2,A000669,,,kenya,2018-09-10,2019-05-28,250,250,98a812f0-979c-4ac3-9085-6db256d84397,Y
141,41,37.14501,0.10258,kenya_A000669_3,A000669,,,kenya,2019-03-01,2020-05-17,250,250,98a812f0-979c-4ac3-9085-6db256d84397,Y
142,41,37.14501,0.10258,kenya_A000669_4,A000669,,,kenya,2020-02-19,2020-11-26,250,250,98a812f0-979c-4ac3-9085-6db256d84397,Y
143,41,37.14501,0.10258,kenya_A000669_5,A000669,,,kenya,2020-08-30,2021-04-30,250,250,98a812f0-979c-4ac3-9085-6db256d84397,N
144,42,37.12034,0.09363,kenya_A000684_1,A000684,,,kenya,2018-01-22,2018-11-15,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49,N
145,42,37.12034,0.09363,kenya_A000684_2,A000684,,,kenya,2018-08-19,2019-05-10,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49,Y
146,42,37.12034,0.09363,kenya_A000684_3,A000684,,,kenya,2019-02-11,2019-12-27,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49,Y
147,42,37.12034,0.09363,kenya_A000684_4,A000684,,,kenya,2019-09-30,2020-04-28,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49,N
148,43,37.04907,0.10013,kenya_A000688_1,A000688,,,kenya,2018-01-22,2018-11-25,250,250,7518eded-6555-43ec-bd2c-faf3df032737,Y
149,43,37.04907,0.10013,kenya_A000688_2,A000688,,,kenya,2018-08-29,2019-05-14,250,250,7518eded-6555-43ec-bd2c-faf3df032737,Y
150,43,37.04907,0.10013,kenya_A000688_3,A000688,,,kenya,2019-02-15,2019-11-27,250,250,7518eded-6555-43ec-bd2c-faf3df032737,Y
151,43,37.04907,0.10013,kenya_A000688_4,A000688,,,kenya,2019-08-31,2020-05-14,250,250,7518eded-6555-43ec-bd2c-faf3df032737,Y
152,43,37.04907,0.10013,kenya_A000688_5,A000688,,,kenya,2020-02-16,2020-11-24,250,250,7518eded-6555-43ec-bd2c-faf3df032737,Y
153,43,37.04907,0.10013,kenya_A000688_6,A000688,,,kenya,2020-08-28,2021-03-14,250,250,7518eded-6555-43ec-bd2c-faf3df032737,Y
154,44,37.11346,0.058,kenya_A000691_1,A000691,,,kenya,2017-12-22,2018-11-04,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea,Y
155,44,37.11346,0.058,kenya_A000691_2,A000691,,,kenya,2018-08-08,2019-06-07,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea,Y
156,44,37.11346,0.058,kenya_A000691_3,A000691,,,kenya,2019-03-11,2020-05-25,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea,Y
157,44,37.11346,0.058,kenya_A000691_4,A000691,,,kenya,2020-02-27,2020-12-02,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea,Y
158,44,37.11346,0.058,kenya_A000691_5,A000691,,,kenya,2020-09-05,2021-05-06,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea,N
159,44,37.11346,0.058,kenya_A000691_6,A000691,,,kenya,2021-02-07,2022-02-14,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea,N
160,44,37.11346,0.058,kenya_A000691_7,A000691,,,kenya,2021-11-18,2023-02-17,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea,discard
161,45,37.09107,0.11705,kenya_A000693_1,A000693,,,kenya,2017-12-23,2018-12-27,250,250,6f9ff8a8-b5ba-430e-ab54-9101111b6100,Y
162,45,37.09107,0.11705,kenya_A000693_2,A000693,,,kenya,2018-09-30,2019-05-23,250,250,6f9ff8a8-b5ba-430e-ab54-9101111b6100,Y
163,45,37.09107,0.11705,kenya_A000693_3,A000693,,,kenya,2019-02-24,2019-11-29,250,250,6f9ff8a8-b5ba-430e-ab54-9101111b6100,Y
164,46,37.10249,-0.04098,kenya_A000694_1,A000694,,,kenya,2018-01-23,2018-11-02,250,250,cc367092-b519-478a-aa04-ebc5655b77a1,Y
165,46,37.10249,-0.04098,kenya_A000694_2,A000694,,,kenya,2018-08-06,2019-05-25,250,250,cc367092-b519-478a-aa04-ebc5655b77a1,Y
166,46,37.10249,-0.04098,kenya_A000694_3,A000694,,,kenya,2019-02-26,2019-09-26,250,250,cc367092-b519-478a-aa04-ebc5655b77a1,Y
167,46,37.10249,-0.04098,kenya_A000694_4,A000694,,,kenya,2019-06-30,2020-04-07,250,250,cc367092-b519-478a-aa04-ebc5655b77a1,Y
